recipe_name,recipe_url,servings_text,cook_time_text,index_page,description,recipe_yield,prep_time,cook_time,total_time,ingredients,instructions,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,is_low_fodmap,parse_status
Shredded Chicken Salad with Creamy Japanese Style Dressing,https://www.monashfodmap.com/recipe/shredded-chicken-salad-creamy-japanese-style-dressing/,Serves: 4,Cook: 15 minutes,19,No boring salads here. This one is restaurant quality with plenty of flavour and no onion or garlic in sight!,4,PT10M,PT15M,PT25M,"4 slices lean, short cut bacon | Fresh ginger, peeled and finely cut into matchsticks | tbsp soy sauce | tbsp tahini | tbsp miso paste | 2 tsp fish sauce | ¾ tsp sesame oil | 1 tsp white sugar | tbsp lemon juice | ½ cup whole egg mayonnaise (if store-bought, check that no onion or garlic added) | Salt and pepper, to season | 1 small BBQ (Rotisserie) chicken, skin and stuffing removed and shredded | 4 cups shredded cos or Iceberg lettuce | tbsp chives, chopped | Toasted sesame seeds for serving","Pan fry bacon in a non-stick pan until cooked to your liking. Transfer onto paper towel to cool and then slice thinly. | Cook ginger in a small saucepan of boiling water for 1 minute, Drain and rinse under cold water; set aside. | Whisk soy sauce, tahini, miso, fish sauce, sesame oil, sugar and lemon juice in a small bowl until smooth. | Place mayonnaise into a larger bowel and whisk until smooth. Gradually pour in the soy sauce mixture and whisk until combined. You may need to add a tablespoon or 2 of water to thin our the dressing. You want the dressing to be the consistency of thickened cream. Add salt and pepper to taste. | Toss the chicken and 1/2 the dressing in a large bowl to coat. Add the lettuce and bacon and the rest of the dressing. | Serve on a large plate and sprinkle the ginger, chives and sesame seeds on top.",2294.0,47.0,3.4,38.2,2.8,2.8,True,ok
Spiced Snapper with BBQ Corn & Pineapple Dressing,https://www.monashfodmap.com/recipe/spiced-snapper-bbq-corn-pineapple-dressing/,Serves: 4,Cook: 25 minutes,20,Looking for a quick and easy low FODMAP dinner thats full of flavour?,4,PT10M,PT25M,PT35M,"2 corn cobs, husks and silk removed | 2 tsp ground turmeric | 1 tsp curry powder | Tbsp canola oil | 4 snapper fillets (skin on) | 1 lemon, quartered | Steamed white long-grain rice, to serve | Fresh pineapple, peeled, finely diced | 1 spring onion, green tips only, thinly sliced | 1 green capsicum, finely diced | 1 green chilli, seeded, finely chopped | Tbsp lemon juice","Cook corn in boiling water for 5 minutes. Drain, cool and cut corn into 2.5cm-thick rounds. | To make the pineapple salsa: place pineapple, spring onion, capsicum, chilli and lemon juice in a bowl. Stir to combine. | Combine turmeric, curry powder and oil in a small bowl. Place fish on a plate and brush both sides with the turmeric mixture. | Heat a barbecue hotplate or frying pan on medium-high heat. Cook the fish, skin-side down, for approximately 3 minutes. Turn and cook the fish for a further 3 minutes or until browned and just cooked through. Transfer to a plate and cover with foil to keep warm. | Add corn and lemon quarters to the barbecue hotplate. Cook for 3 minutes or until golden and just starting to char. Place steamed rice on serving plates. Top with fish, pineapple salsa and serve with corn and charred lemons.",1683.0,36.0,46.0,7.7,6.8,18.8,True,ok
Sri Lankan Beef Curry,https://www.monashfodmap.com/recipe/sri-lankan-beef-curry/,Serves: 4,"Cook: 2 hours, 20 minutes",20,This classic Sri Lankan curry is packed full of flavour.,4,PT5M,PT140M,PT145M,Tbsp canola oil | Lean beef (stewing cuts cut into 1 inch cubes) | 2 tsp salt | 1 tsp cracked black pepper | Tbsp Sri Lankan curry powder (see below) | 1 tsp turmeric powder | Tbsp grated ginger | 2 red large chillis | 7 stalks curry leaves | 6 x 5cm lengths pandan (rampe) | 4 stalks lemongrass | Tbsp vinegar | Coconut milk | Sri Lankan Roasted Curry Powder: | Coriander seeds | Cumin seeds | Fennel seeds | Black peppercorns | 2 cloves | 8 cardamon pods | Sri Lankan cinnamon | 2 tsp black/brown mustard seeds | 4 stalks fresh or dried curry leaves | 1 stalk pandan (rampe),"To make curry powder, toast spices (excluding pandan) in a work or pan for 1-2 minutes on low-medium heat, until light brown and fragrances are released, mixing spices regularly to prevent burning. | Set aside toasted/roasted spices to cool. This will help to grind ingredients easier. While spices are cooling, cut pandan (rampe) into 2cm lengths. | Place cooled spices into a food processor and grind to a fine powder. Alternatively use a mortar and pestle, and mix thoroughly. | Mix pandan with finely ground spices. Use 45g and place remained into an airtight container. Store in a cool, dark place. | Heat oil in a large saucepan or pot over medium heat. | Add curry powder and move around constantly with a wooden spoon for approximately 1 minute, to prevent burning and until fragrance is released. | Add in the beef cubes and gently mix to coat with curry powder. Once coated add in remaining spices, chilies, herbs and vinegar and gently mix through. | Add in coconut milk and increase heat to high and bring to the boil. | Reduce heat to low, cover tightly with a lid and simmer for one to two hours on low heat, or until beef is very tender. | Check occasionally, and add water if needed. | Serve with steamed basmati rice and sprinkle with fresh coriander.",3288.0,45.4,14.2,60.0,9.0,9.7,True,ok
Sticky Chinese Chicken Wings,https://www.monashfodmap.com/recipe/sticky-chinese-chicken-wings/,Serves: 5,Cook: 45 minutes,20,These low FODMAP sticky Chinese chicken wings are the perfect appetiser to share with your friends.,5,PT15M,PT45M,PT60M,"Chicken wings | 1 tsp sesame oil | tbsp rice wine vinegar | tbsp brown sugar | tbsp soy sauce | ¼ cup tomato paste | tbsp oyster sauce | tbsp garlic-infused olive oil | ½ tsp Chinese five spice | tbsp spring onion, green tips only | 2 tsp sesame seeds, toasted | tbsp fresh coriander | ½ mild red chilli (deseeded &amp;amp; finely sliced)","Preheat the oven to 180ºC/350ºF. | Place the chicken wings in a large bowl. Mix the sesame oil, rice wine vinegar, brown sugar, soy sauce, tomato paste, oyster sauce, garlic infused oil and Chinese five spice in a small bowl. Pour the marinade over the chicken wings and mix through. Allow to marinate for 10 minutes. | Line a roasting tray with baking paper or grease well. Pull the chicken wings out of the marinade and place in the roasting tray. Reserve the left over marinade for basting. | Place the chicken wings in the oven. Baste after 15 minutes with half of the left over marinade, then pour the rest of the marinade over the chicken at 30 minutes. | Bake for 40 to 50 minutes until the meat is tender, and the wings are sticky and a gorgeous dark red/golden colour. | Toast sesame seeds in a small frypan over medium-high heat for 1 to 2 minutes (no oil needed). Remove as they start to turn golden brown. Finely chop the green spring onion tips, red chilli, and fresh coriander. | Serve with a sprinkle of sesame seeds, some roughly chopped fresh coriander, finely chopped spring onion tips, and some rings of fresh chilli.",3065.0,69.5,10.8,45.9,1.0,12.3,True,ok
Stir-fried Beef with Oyster Sauce & Rice Noodles,https://www.monashfodmap.com/recipe/stir-fried-beef-oyster-sauce-rice-noodles/,Serves: 2,Cook: 15 minutes,20,"You can&#x27;t go wrong with a stir fry. This one is quick and easy, healthy and low FODMAP!!",2,PT20M,PT15M,PT35M,"Lean beef | tbsp oyster sauce | tbsp sesame oil | tbsp soy sauce | tbsp peanut oil | 4 spring onions, green tops only, chopped | 1 carrot, cut lengthways and cut into strips | Oyster mushrooms, roughly chopped | ½ green capsicum, deseeded and cut into strips | Rice noodles | 1 low FODMAP stock cube | 2 cups baby spinach leaves OR 1 small bunch of baby bok choy | ½ bunch coriander, washed and chopped | Salt and pepper, to season","Cut the beef into thick slices cutting against the grain. Place in a bowl and add in the oyster sauce, sesame oil and soy sauce and mix. Leave for 15 minutes. | Heat the peanut oil in a wok or large frying pan over a high heat. | Drain the beef from the marinade and reserve leftover marinade. When the oil is just starting to smoke, add the beef to the pan and stir fry for 2 minutes. Remove and set aside. | Wipe the pan with paper towel. Reheat the wok on a high heat and add in a little oil. Quickly add the spring onions, carrot and mushrooms, and stir fry for 3 to 4 minutes. | Add in the capsicum, rice noodles and ¼ cup of water with a crushed stock cube and the reserved marinade. Cover for 2 to 3 minutes. | Remove the lid and add back in the beef to finish cooking for a further 3 to 4 minutes. Add the baby spinach and coriander and mix through. | Season with salt and pepper and serve.",3142.8,35.3,71.3,33.3,7.2,6.2,True,ok
Thai Green Chicken Curry,https://www.monashfodmap.com/recipe/thai-green-chicken-curry/,Serves: 6,Cook: 30 minutes,20,This curry is wonderfully aromatic and flavourful whilst omitting the onions and garlic.,6,PT5M,PT30M,PT35M,"CURRY PASTE | 1 tsp finely chopped, well-washed coriander roots | 1 tsp coriander powder | ½ tsp cumin powder | ½ tsp black pepper powder | ½ tsp turmeric powder | 1 tsp galangal | 1 tsp minced or grated ginger | 3 shredded kaffir lime leaves (fresh or dried) | Tbsp minced lemongrass (¼ large trimmed stalk) | 1 tsp salt | 2 tsp brown or palm sugar | ¼ tsp shrimp paste | ½ minced long green large chillies (hot or mild) | Tbsp canola oil | CURRY INGREDIENTS | Chicken thighs, fat, skin and sinew removed and cut into thin strips | 5 kaffir lime leaves (fresh or dried) ripped into pieces | 1 eggplant, 1cm diced | 2 cups coconut milk | Tbsp fish sauce | 1 tsp brown or palm sugar | ½ bunch Thai basil leaves","To make curry paste: | Roughly chop all the ingredients (except oil) and blitz them in a food processor . Slowly pour in oil until a smooth paste is achieved. Alternatively, smash ingredients in a mortar and pestle and gradually incorporate the oil. Note, it may be easier to do this in small batches and thoroughly mix to a paste at the end. | Place curry paste and all remaining ingredients (except thai basil) into a pot. | Bring to the boil, reduce heat to low and cover with a lid. | Simmer for approximately 20 minutes and occasionally stir. | Stir through thai basil leaves prior to serving. | Serve with cooked quinoa, brown rice or steamed low FODMAP vegetables.",1846.0,33.2,5.5,31.4,2.0,4.8,True,ok
Tuna & Sweet Potato Patties,https://www.monashfodmap.com/recipe/tuna-sweet-potato-patties/,Serves: 4,Cook: 40 minutes,20,Get the kids involved with this quick and easy low FODMAP meal.,4,PT15M,PT40M,PT55M,"Sweet potato, peeled and diced | Kent/Japanese/Kabocha pumpkin, peeled and diced | 1 tin tuna/salmon, drained | 1 egg, lightly beaten | 1 cup gluten-free bread crumbs | ½ cup reduced-fat grated tasty cheese | 1 small carrot, grated | 2 spring onions, green tops only, finely sliced | Tbsp Plain gluten-free flour | Tbsp sesame seeds | Olive oil spray","Steam/boil sweet potato and pumpkin until just tender. Transfer to a large bowl and mash roughly with a fork. | Preheat oven to 180°C/356°F. Line large baking tray with baking paper and set aside. | On a large plate, combine gluten-free flour and sesame seeds, set aside. | Add drained tuna, egg, breadcrumbs, cheese, carrot and chives to mashed sweet potato and pumpkin mixture. Stir with a wooden spoon to roughly combine. | Shape into 12 equal patties approx. 1.5cm thick. Lightly coat each patty in flour and sesame seed mixture. | Heat a large, non-stick frying pan over medium heat. Spray both sides of each patty with olive oil. Fry patties in frying pan in batches (4-5 minutes each side) until golden brown. | Place browned patties on baking tray and bake until heated through (approx. 10-15 minutes). | Serve patties with low FODMAP vegetables or salad and see below for a great dipping sauce.",1574.0,20.0,34.0,16.0,5.0,9.0,True,ok
Turkey Roulade with Herb & Nut Stuffing,https://www.monashfodmap.com/recipe/turkey-roulade-herb-nut-stuffing/,Serves: 8,Cook: 40 minutes,21,This stuffed turkey roulade is an indulgent and delicious recipe that is perfect for Thanksgiving Dinner!,8,PT60M,PT40M,PT100M,"4 large, skinless turkey breasts or chicken breasts | Long, very thin slices of pancetta (rind and as much fat as possible removed) | 8 slices (2cm x10cm) red capsicum, charred and skinned | Olive oil spray | 5 bacon rashers, rind and fat removed, finely diced | tbsp butter or margarine | 1 cup spring onion, green tops only, finely sliced | 1 tsp cracked black pepper | 1⅔ cup gluten-free bread crumbs | Macadamia nuts, roasted and roughly chopped | tbsp thyme leaves, finely chopped | ½ bunch parsley leaves and upper stems, finely chopped | 3 eggs","To make the stuffing, heat the butter in a pan over medium heat, add the bacon until browned then remove from heat. Add the spring onion tops, pepper, breadcrumbs, macadamia nuts, thyme, parsley and eggs and mix until combined. Set aside | Preheat a fan forced oven to 180°C/356°F. | Trim chicken or turkey fillets of sinew and fat. | Flatten fillets between two sheets of silicon paper by thumping with a meat mallet or rolling pin. The fillets should be about 1.5 cm/0.6&quot; thick. | Cut the capsicum (bell pepper) into long thick strips. | On a new sheet of silicon paper arrange the pancetta slices so they overlap slightly. | Place the flattened fillet in the centre of the pancetta and arrange the capsicum strips in the centre. | Mould a tapered log of the stuffing and align it with the capsicum. | Carefully roll the entire breast using the pancetta to &#x27;seal&#x27; the roulade. | Spray a roasting dish with olive oil and place the roulade with the pancetta strip ends facing down and spray lightly with olive oil. | Repeat the above with the remaining fillets. | Roast for approximately 40 minutes (note this time may vary depending on the oven and size of the fillets). | Rest in a warm place for about 15 minutes before slicing into 2cm rounds.",2724.0,63.3,10.5,39.6,2.8,2.7,True,ok
Vegetable Frittata,https://www.monashfodmap.com/recipe/vegetable-frittata/,Serves: 4,"Cook: 1 hour, 15 minutes",21,"This simple vegetarian frittata recipe provides 3 or your 5 daily serves of vegetables per portion and is a quick, healthy lunch or dinner option that the whole family will enjoy!",4,PT10M,PT75M,PT85M,"½ medium sweet potato, cubed | tbsp olive oil | 1 tsp paprika | 3 spring onions, green tops only, sliced | Broccoli florets, chopped | 1 zucchini, grated | 5 eggs | tbsp lactose-free milk or other low FODMAP milk alternative | ½ cup mixed herbs e.g. basil and parsley | ¼ cup chives | ¼ cup Danish fetta | Salt and pepper, to taste","Preheat oven to 180°C/356°F. Toss sweet potato in half of the oil and paprika, place on lined baking tray. Roast in oven for 45 minutes or until tender. | Heat the remaining oil in a large 22cm ovenproof frying pan over medium heat. Sauté spring onion and once softened, add the broccoli stirring occasionally until charred. Add zucchini; cook for 2 minutes or until softened. Remove from heat. | Combine eggs, milk and mixed herbs in a food processor. Process until herbs are finely chopped and egg mixture is fluffy. | Once cooked, add the roasted sweet potato to the broccoli mixture in the frying pan, and turn heat back to medium. Add the egg mixture to the frying pan and stir until well combined. Sprinkle with feta and chives and season with salt and pepper. Reduce heat to low and cook for 8 minutes or until the egg mixture has mostly set. | In the meantime, preheat the grill on high. Place the frying pan under the grill and grill until golden brown and egg mixture is set.",1791.0,13.6,11.8,35.0,6.6,3.0,True,ok
Veggie Burgers,https://www.monashfodmap.com/recipe/veggie-burgers/,Serves: 8,"Cook: 1 hour, 25 minutes",21,Looking for both a low FODMAP and vegetarian meal to feed the family? Look no further!,8,PT30M,PT85M,PT115M,"Cooked potato mashed | ½ cup cooked rice | Gluten-free bread crumbs | 1 medium carrot, grated | ½ small zucchini, grated | Tbsp shaved parmesan cheese (optional) | Tbsp fresh continental parsley | Tbsp fresh coriander | Grated ginger | 1 egg | Tbsp soy sauce (gluten-free)","Peel and steam potatoes until very soft. Mash potato and leave to the side or place in the fridge to cool down. | Boil/steam rice and allow to cool (cool in the fridge for faster results). | Wash and finely chop fresh coriander and parsley. | Grate carrot and zucchini and remove any excess liquid. | Once potato and rice has cooled down, place into a bowl with all ingredients. | Roll burgers into balls. | Spray or drizzle olive oil into a pan or on a BBQ plate. Heat oiled pan/BBQ plate first before placing burgers. | Once burgers are in the pan/on BBQ plate, allow them to cook for approximately 5 minutes before gently flattening burgers slightly. | Cook burgers on low-medium heat for approximately 15 minutes and only turn them once.",595.5,5.6,15.8,5.8,2.4,3.8,True,ok
Zucchini Pasta with Cabbage & Parmesan Salad,https://www.monashfodmap.com/recipe/zucchini-pasta-cabbage-parmesan-salad/,Serves: 2,Cook: 5 minutes,21,This healthy pasta is delicious and a perfect way to try out FODMAP stacking.,2,PT5M,PT5M,PT10M,"1 small zucchini, cut into strips like spaghetti | 2 tsp olive oil | ½ clove garlic, sliced | 2 anchovies, sliced | ¼ tsp salt or as desired | tbsp parmesan, grated | 1 cup thinly sliced cabbage (common or red cabbage – see note above) | ⅓ cup grated carrot | 2 tsp parmesan | 2 tsp olive oil | 1 tsp apple cider vinegar | Salt and pepper to taste","Heat oil in small fry pan. | Add sliced garlic and heat for 1 minute to add flavour into the oil. | Remove garlic slices from pan and discard. | Add anchovies and chilli and heat for 2 minutes, stir. | Add zucchini and heat for 2 minutes, stir. | Transfer to a plate and stir through parmesan. | Add cabbage, carrot and parmesan to a bowl and combine. | Add olive oil, vinegar and salt and pepper.",709.5,7.1,2.5,14.2,2.0,3.9,True,ok
Fruit Salad Pavlovas,https://www.monashfodmap.com/recipe/fruit-salad-pavlovas/,Serves: 8,Cook: 1 hour,21,Impress your friends and family at the next event with this show stopper!!,8,PT190M,PT60M,PT250M,"3 egg whites, room temperature | Pinch of salt | ¾ cup caster sugar | 2 tsp cornflour | 1 vanilla bean pod | Vanilla flavoured yoghurt (lactose-free if required) | 1 punnet strawberries, top removed and sliced in layers | 4 Kiwi fruits halved and sliced in thin layers | 4 passionfruit, pulp removed | Fresh blueberries | Handful of fresh mint leaves","Preheat oven to 110°C/230°F. Line a large oven tray with baking paper. | In a large mixing bowl, combine egg whites and salt. Beat using an electric mixer until soft peaks begin to form. Continue beating, whilst gradually adding caster sugar, until stiff peaks form and the mixture is glossy. Using a spatula, gently fold through cornflour and scraped seeds from the vanilla bean pod. | Spoon meringue onto baking sheet to form 8 even circles. Bake in the oven for 1 hour or until meringues are crisp to touch but not browned. Turn oven off and leave meringues inside to cool for 2-3 hours with the door slightly ajar. | Place sliced strawberries and kiwi fruit in a mixing bowl and stir to combine. Set aside. | Top each meringue nest with a dollop of yoghurt. Decorate with the sliced fruit and spoon about a tablespoon of passionfruit pulp over each meringue. Add a couple of mint leaves and blueberries to decorate. | Arrange on a platter to serve. Enjoy!",607.0,3.9,30.8,1.0,3.7,29.0,True,ok
Hot Cross Buns,https://www.monashfodmap.com/recipe/hot-cross-buns/,Serves: 12,Cook: 20 minutes,21,Enjoy these tasty low FODMAP buns that still have a truly traditional flavour.,12,PT290M,PT20M,PT310M,"Lactose free milk | 2 sachets dried yeast | tbsp unsalted butter | 2 cups maize flour | Rice flour | Potato flour | 3 tsp xanthan gum | 1 tsp salt | ½ cup caster sugar | 1 large egg | 1 tsp cinnamon | 2 tsp mixed spice | Currents, dried | Cranberries, dried | tbsp extra maize flour | ⅓ cup mixed peel | Cooking spray | tbsp strawberry jam (without high fructose corn syrup) | tbsp water | 1½ cups pure icing sugar, sifted | tbsp butter, melted | ¼ cup milk","Warm milk until it is luke-warm stir in yeast to activate (it should dissolve and bubble). Set aside for 5-10 minutes. | Melt the butter. | In a large bowl mix flours (sifted), sugar, xanthan gum, salt and spices. Make a well in the centre and incorporate milk and yeast mixture, butter and egg, mix with a wooden spoon, a dough mixer or your hand to a cohesive and slightly sticky dough. Note: this does not need to be kneaded. | Place the dough in a large, lightly oiled bowl and cover with lightly oiled plastic wrap. Leave the dough to rise in a warm place for 1-2 hours or until doubled in size. | Mix the fruits and peel with the extra maize flour, breaking up any clumps. | Knock back the dough and re-oil the bowl and your hands. Sprinkle the fruit mixture over the dough and work together until the mixture is evenly incorporated. | On a lightly oiled work surface pat out the dough into a log (~4cm diameter) and cut into 12 even pieces (~85-90g each). | Prepare an oven tray with baking paper and roll dough portions into balls, place evenly on the tray leaving 1cm between each. | Leave this tray in a warm place until they have again, doubled in size (~2hours) | Preheat oven to 180°C/356°F. For better results, place a deep baking tray half full of boiling water on a rack near the bottom of the oven to provide some steam. | Bake the buns for 20 minutes, or until golden brown. Place the hot buns on a cooling rack and glaze whilst they are still hot. | Melt the jam with water until it is runny, then paint the hot buns with the glaze. (If your glaze is lumpy, try putting it through a sieve). | Melt the butter and add to the icing sugar. | Gradually add the milk using a fork to achieve a cohesive but stiff icing. | Place icing in a piping bag fitted with a small nozzle on the just cooled buns. Alternatively, use a snaplock bag and snip a tiny corner off to create a 2mm hole to pipe the icing.",1453.0,3.0,67.2,7.6,2.0,38.2,True,ok
Herb & Vegetable Rice Pilaf,https://www.monashfodmap.com/recipe/herb-vegetable-rice-pilaf/,Serves: 4,Cook: 50 minutes,22,"This recipe is a great base for lunch or dinner, just add your choice of protein like grilled salmon or tofu, bbq’d steak or pan fried chicken tenderloins.",4,PT20M,PT50M,PT70M,"tbsp olive oil | tbsp garlic-infused oil | ½ medium eggplant, finely diced | 1 small zucchini, finely diced | ½ red capsicum, finely diced | 1 tsp turmeric powder | 3 tsp curry powder | 2 cups uncooked, white basmati rice | 2¾ cups Massel&#x27;s Monash FODMAP certified beef or vegetable stock | 1½ tsp cracked black pepper | ⅓ cup chives, finely chopped | ⅔ cup basil, roughly chopped | Salt, to taste | Lemon juice, to serve | Greek OR Natural yoghurt (lactose-free if required), to serve","Heat oils in a non-stick heavy-based saucepan with a tightly fitting lid, sauté eggplant, capsicum and zucchini over high heat for about 5 minutes or until they start to brown. | Add spices and cook for a couple more minutes. You can also add some chilli if you like. | Add rice and briefly sauté, then add boiling stock. Stir constantly for another 10 minutes. | Cover with the tightly fitting lid and either bake in a preheated, 180°C/356°F oven (160°C/320°F fan-forced) for 30 minutes OR keep on the stove, reduce the heat to very low and cook for 30 minutes or until water absorbed. | Remove from oven or stove and let sit with lid on for 15 minutes. | Uncover, cool slightly and stir through basil and chives. | Serve with a dollop of yoghurt and a squeeze of lemon.",795.8,3.9,30.0,6.7,2.8,5.2,True,ok
Lemon & Thyme Marinated BBQ Lamb,https://www.monashfodmap.com/recipe/lemon-thyme-marinated-bbq-lamb/,Serves: 4,Cook: 20 minutes,22,"Lamb, along with other sources of animal protein, is naturally low in FODMAPs owing to the negligible carbohydrate content of meat.",4,PT35M,PT20M,PT55M,"4 lamb cutlets | 1 lemon, finely grated zest and juice | ¼ cup olive oil | Tbsp dijon mustard | Tbsp thyme, chopped | 1 small zucchini, thickly sliced lengthways | Salad leaves and lemon wedge, to serve","Spread lamb out in a shallow dish. | In a separate bowl, combine lemon, oil, mustard and thyme. Season to taste. Pour marinade over lamb, turning to coat. Set aside for 30 mins (longer if you have time). Turn occasionally. | Meanwhile, preheat a barbecue plate on high. Reduce heat to medium. Cook lamb for 4-5 mins on each side, or until cooked to taste. Rest, covered for 5 mins. | Chargrill zucchini for 1-2 mins on each side until tender. | Serve lamb with the zucchini, salad and a lemon wedge on the side.",1849.0,12.6,1.4,43.3,1.0,1.8,True,ok
Makrut Lime & Lemon Salmon,https://www.monashfodmap.com/recipe/makrut-lime-lemon-salmon/,Serves: 4,Cook: 30 minutes,22,"This easy family dinner is so simple to make, just serve with your favourite low FODMAP salad!!",4,PT5M,PT30M,PT35M,"1 medium fillet of salmon | ½ lemon, thinly sliced | 1 makrut lime leaf, torn | ½ lemongrass stalk, quartered, bruised | ½ cup coriander","Preheat the oven to 180°C/356°F. Place foil sheets, slightly overlapping, on a large baking tray. | Place salmon on the foil. Top with lemon, lime leaves, lemongrass, and coriander. | Bring two long sides of foil up to centre. Fold to seal. Roll up ends to enclose salmon. | Bake for 30 minutes for medium or until cooked to your liking. | Cool to room temperature, then cover and refrigerate until ready to serve.",1131.9,36.9,0.7,13.4,0.5,0.4,True,ok
Marinated Tofu with Asian Greens & Rice,https://www.monashfodmap.com/recipe/marinated-tofu-asian-greens-rice/,Serves: 2,Cook: 10 minutes,22,How tasty does this look? It is both vegan &amp; vegetarian friendly too!,2,PT125M,PT10M,PT135M,"Firm tofu, cubed | 1 orange, juiced | Tbsp soy sauce | 2 tsp sugar | 2 tsp fresh ginger, minced (optional) | 1 tsp corn flour | Cooking oil, for frying | 2 cups of low FODMAP Asian greens | Sesame seeds and a dash of sesame oil, to garnish","Mix the orange juice, soy sauce, sugar and ginger in a container and add the cubed tofu. Place in the fridge to marinate for at least 2 hours (but not more than 12 hours). | When you’re ready to cook the tofu, remove it from the marinade using a slotted spoon. | Heat the oil in a frying pan or wok over high heat and add the tofu cubes. Fry until golden brown. | Add the corn flour to the reserved marinade liquid and stir it with a fork to dissolve the corn flour. Add it to the frying pan or wok, and continue cooking until the marinade creates a sauce. Add the greens and cook over high heat, stirring, until the greens are wilted. | Serve with rice and garnish with some sesame seeds (approximately 1 tsp per bowl) and a few drops of sesame oil for extra flavour.",1312.6,16.2,10.0,21.4,10.7,8.9,True,ok
Kartoffelknödel - Potato Dumplings,https://www.monashfodmap.com/recipe/kartoffelkn%C3%B6del-potato-dumplings/,Serves: 8,Cook: 1 hour,22,This traditional German dumpling makes a delicious side dish to any roulande or stew. But it&#x27;s delicious eaten on its own too..,8,PT10M,PT60M,PT70M,"10 large potatoes | 1 cup gluten free flour | 3 eggs | ⅔ cup gluten free bread crumbs (or quinoa flakes) | 1 tsp salt | ½ tsp ground nutmeg | Water | ½ cup butter | 2 rashers of bacon, diced | ¼ cup bread crumbs or quinoa flakes","Place potatoes in a large pot and add salty water until potatoes are all covered. Bring to the boil. Once boiled reduce the heat and cook uncovered for another 20 minutes or until tender. Drain the water off and peel the potatoes. | Mash the potatoes until smooth. Stir through the flour, eggs, bread crumbs, salt and nutmeg. Roll the mixture into approximately 8 balls. | In the large pot bring 3L/0.8 gal of water to the boil. Carefully spoon the dumplings into the water. Once the water is boiling reduce the heat and leave to simmer uncovered for 15-20 minutes or until the dumplings are cooked. | Meanwhile, in a small saucepan, heat the butter and the cubed bacon on medium heat. Heat until the butter is golden brown and bacon is cooked. Stir constantly. Remove from heat and stir in breadcrumbs (or quinoa flakes). | Place dumplings in a serving dish and pour over the butter and bacon sauce.",1659.0,9.5,57.1,14.9,4.0,3.0,True,ok
Pulled Pork & Coleslaw,https://www.monashfodmap.com/recipe/pulled-pork-coleslaw/,Serves: 10,Cook: 6 hours,22,As the weather warms up here in Australia give this pulled pork and coleslaw recipe a go.,10,PT10M,PT360M,PT370M,"Pork shoulder or rump | 1/2 Cup Olive Oil | Salt and pepper, to season | 2 tsp smoked paprika | ½ cup fresh mint | 2 fresh chillies (optional) | Tbsp red wine vinegar | ½ common cabbage | ¼ red cabbage | ½ pineapple | 3 carrots | Tbsp mayonnaise | 6 tsp olive oil | ¼ cup red wine vinegar (optional)","Preheat the oven to 220°C/428°F. | Score the pork skin ~1cm deep and drizzle the olive oil over the pork. | Season generously with salt, pepper and paprika rubbing the flavours into the skin. | Place the pork in a roasting tray and place in the oven immediately lowering the temperature to 160°C/320°F. Cook for 4 hours, basting occasionally with the juices in the tray. | After 4 hours reduce the temperature to 150°C/302°F for another 2 hours or until you can pull the meat apart very easily. | Remove the crackling and fat as you pull all the pork apart. | For the coleslaw, finely slice the pineapple pieces and cabbage. This can be done using a food processor. Putting it all into a bowl season with salt and pepper. Add the mayonnaise, a drizzle of olive oil and red wine vinegar. | Chop some mint leaves and deseed and finely chop the red chillies. Mix together and add some olive oil and the red wine vinegar. Add a pinch of salt to the mix and add to the tray of pulled pork. Mix this all together.",2132.0,63.7,5.2,25.2,3.5,5.9,True,ok
Salmon & Ricotta Frittata,https://www.monashfodmap.com/recipe/salmon-ricotta-frittata/,Serves: 6,Cook: 1 hour 5 minutes,23,"Frittata&#x27;s are the perfect meal for breakfast, lunch or dinner!",6,PT5M,PT65M,PT70M,"6 baby potatoes | Olive oil spray | 8 eggs, lightly beaten | Ricotta | Tbsp parsley, finely chopped | 2 salmon fillets, diced | ½ cup green peas","Preheat oven to 180°C/356°F. | Place the potatoes in a saucepan, cover with cold water and bring to the boil. Cook for 15 minutes or until just tender. Refresh under cold water, then drain. Slice into 1cm rounds. | Lightly grease a 27cm/10.6&quot; diameter, glass baking dish using olive oil spray. | Place the potatoes in a single layer over the base of the baking dish. Season with salt and pepper. | Combine the remaining ingredients in a bowl and stir to combine. | Pour egg mixture over the potatoes and bake in the oven for approximately 40 minutes, or until cooked through.",1382.8,24.2,16.8,18.6,2.3,2.5,True,ok
